Abbreviation,Name,HigherEdRank
ARG,Argentina,34
AUS,Australia,8
AUT,Austria,16
AZE,Azerbaijan,65
BLR,Belarus,52
BEL,Belgium,18
BRA,Brazil,36
BGR,Bulgaria,49
KHM,Cambodia,75
CAN,Canada,4
CHL,Chile,48
CHN,China,22
COL,Colombia,51
CRI,Costa Rica,61
HRV,Croatia,43
CZE,Czechia,29
DNK,Denmark,12
DOM,Dominican Republic,69
ECU,Ecuador,73
EGY,Egypt,39
SLV,El Salvador,74
EST,Estonia,44
FIN,Finland,15
FRA,France,5
DEU,Germany,3
GRC,Greece,28
GTM,Guatemala,78
HUN,Hungary,30
IND,India,32
IDN,Indonesia,54
IRQ,Iraq,77
IRL,Ireland,20
ISR,Israel,24
ITA,Italy,14
JPN,Japan,7
JOR,Jordan,58
KAZ,Kazakhstan,71
KEN,Kenya,68
LVA,Latvia,50
LBN,Lebanan,70
LTU,Lithuania,42
MYS,Malaysia,38
MEX,Mexico,37
MAR,Morocco,57
MMR,Myanmar,76
NLD,Netherlands,10
NZL,New Zealand,11
NOR,Norway,13
OMN,Oman,62
PAN,Panama,60
PER,Peru,64
PHL,Philippines,55
POL,Poland,26
PRT,Portugal,25
QAT,Qatar,41
ROU,Romania,47
RUS,Russia,23
SAU,Saudi Arabia,35
SRB,Serbia,63
SGP,Singapore,21
SVK,Slovakia,45
SVN,Slovenia,53
ZAF,South Africa,33
KOR,South Korea,19
ESP,Spain,17
LKA,Sri Lanka,66
SWE,Sweden,9
CHE,Switzerland,6
THA,Thailand,46
TUN,Tunisia,67
TUR,Turkey,31
UKR,Ukraine,40
ARE,United Arab Emirates,27
GBR,United Kingdom,2
USA,United States,1
URY,Uruguay,56
UZB,Uzbekistan,72
VNM,Vietnam,59